poster	datatype	software	analysis
416	PET	CMA	ROI
497	VBM	GingerAle	Coordinate
591	tfMRI	SDM	Image
608	VBM	GingerAle	Coordinate
608	DWI	GingerAle	Coordinate
660	VBM	SDM	Coordinate
714	tfMRI	GingerAle	Coordinate
714	rfMRI	GingerAle	Coordinate
755	tfMRI	GingerAle	Coordinate
770	tfMRI	GingerAle	Coordinate
778	tfMRI	GingerAle	Coordinate
854	tfMRI	SDM	Coordinate
1660	VBM	GingerAle	Coordinate
1931	Lesion Hemisphere	CMA	ROI
2339	tfMRI	GingerAle	Coordinate
2413	VBM	pyALE	Coordinate
2413	PET	pyALE	Coordinate
2413	tfMRI	pyALE	Coordinate
2413	rfMRI	pyALE	Coordinate
2693	tfMRI	GingerAle	Coordinate
2693	rfMRI	GingerAle	Coordinate
2819	VBM	GingerAle	Coordinate
621	VBM	GingerAle	Coordinate
